timestamp,temperature_c,humidity_pct,apparent_temperature_c,weather_wind_speed_ms,precipitation_mm
2022-04-01 00:00:00,29.2,59,31.9,2.48,0.0
2022-04-01 01:00:00,26.9,67,29.5,2.53,0.0
2022-04-01 02:00:00,26.8,68,29.5,2.57,0.0
2022-04-01 03:00:00,25.3,75,28.2,2.44,0.0
2022-04-01 04:00:00,25.3,76,28.4,2.15,0.0
2022-04-01 05:00:00,25.9,76,29.5,1.98,0.0
2022-04-01 06:00:00,25.3,78,28.7,2.02,0.0
2022-04-01 07:00:00,27.7,71,31.2,2.66,0.0
2022-04-01 08:00:00,28.5,67,32.1,2.28,0.0
2022-04-01 09:00:00,29.1,61,32.5,2.23,0.0
2022-04-01 10:00:00,31.6,50,35.8,2.16,0.0
2022-04-01 11:00:00,35.1,38,40.2,1.17,0.0
2022-04-01 12:00:00,34.6,38,39.7,0.6,0.0
2022-04-01 13:00:00,37.0,31,40.8,0.85,0.0
2022-04-01 14:00:00,37.7,28,40.9,1.21,0.0
2022-04-01 15:00:00,35.8,37,39.0,1.33,0.0
2022-04-01 16:00:00,35.8,35,37.9,1.5,0.0
2022-04-01 17:00:00,35.8,37,38.2,1.76,0.0
2022-04-01 18:00:00,34.6,40,37.0,2.1,0.0
2022-04-01 19:00:00,32.9,43,34.4,3.31,0.0
2022-04-01 20:00:00,32.0,44,32.8,4.14,0.0
2022-04-01 21:00:00,31.4,49,32.7,4.47,0.0
2022-04-01 22:00:00,30.0,57,32.0,4.32,0.0
2022-04-01 23:00:00,29.3,64,32.1,3.83,0.0
2022-04-02 00:00:00,28.8,69,32.3,3.43,0.0
2022-04-02 01:00:00,27.0,80,30.9,3.22,0.0
2022-04-02 02:00:00,26.7,84,31.1,3.15,0.0
2022-04-02 03:00:00,25.1,88,29.1,3.01,0.0
2022-04-02 04:00:00,24.9,89,28.9,2.8,0.0
2022-04-02 05:00:00,26.3,86,30.9,2.66,0.0
2022-04-02 06:00:00,25.9,88,30.3,2.95,0.0
2022-04-02 07:00:00,26.6,83,30.9,2.97,0.0
2022-04-02 08:00:00,27.5,78,31.8,2.62,0.0
2022-04-02 09:00:00,28.1,73,32.4,2.58,0.0
2022-04-02 10:00:00,30.6,59,35.6,2.31,0.0
2022-04-02 11:00:00,34.5,47,40.7,1.71,0.0
2022-04-02 12:00:00,34.6,46,41.3,1.07,0.0
2022-04-02 13:00:00,36.5,37,42.0,1.2,0.0
2022-04-02 14:00:00,37.4,33,41.3,1.65,0.0
2022-04-02 15:00:00,35.6,39,39.2,1.47,0.0
2022-04-02 16:00:00,35.4,38,38.0,1.71,0.0
2022-04-02 17:00:00,35.4,36,37.2,2.11,0.0
2022-04-02 18:00:00,34.6,39,36.8,2.02,0.0
2022-04-02 19:00:00,32.8,46,34.9,3.15,0.0
2022-04-02 20:00:00,31.4,49,32.9,3.82,0.0
2022-04-02 21:00:00,30.6,55,32.7,3.81,0.0
2022-04-02 22:00:00,28.9,60,30.9,3.93,0.0
2022-04-02 23:00:00,28.5,63,30.8,3.89,0.0
2022-04-03 00:00:00,28.0,66,30.5,3.8,0.0
2022-04-03 01:00:00,26.4,76,29.2,3.69,0.0
2022-04-03 02:00:00,26.0,79,29.3,3.47,0.0
2022-04-03 03:00:00,24.9,87,28.6,3.14,0.0
2022-04-03 04:00:00,24.7,89,28.7,2.85,0.0
2022-04-03 05:00:00,25.8,87,30.4,2.35,0.0
2022-04-03 06:00:00,25.6,88,30.3,2.08,0.0
2022-04-03 07:00:00,26.5,83,31.2,2.01,0.0
2022-04-03 08:00:00,27.4,77,31.8,2.42,0.0
2022-04-03 09:00:00,28.1,72,32.3,2.62,0.0
2022-04-03 10:00:00,30.6,59,35.6,2.26,0.0
2022-04-03 11:00:00,33.9,47,39.9,1.49,0.0
2022-04-03 12:00:00,34.6,42,40.6,1.05,0.0
2022-04-03 13:00:00,36.3,35,40.2,1.56,0.0
2022-04-03 14:00:00,36.9,32,39.0,1.9,0.0
2022-04-03 15:00:00,35.6,37,38.4,1.85,0.0
2022-04-03 16:00:00,35.3,37,37.3,2.1,0.0
2022-04-03 17:00:00,35.5,35,37.3,2.02,0.0
2022-04-03 18:00:00,35.0,38,37.2,1.95,0.0
2022-04-03 19:00:00,33.5,45,35.9,2.72,0.0
2022-04-03 20:00:00,31.5,47,33.1,3.18,0.0
2022-04-03 21:00:00,31.0,49,32.7,3.27,0.0
2022-04-03 22:00:00,29.2,55,30.9,3.29,0.0
2022-04-03 23:00:00,28.9,55,30.6,3.3,0.0
2022-04-04 00:00:00,28.3,57,30.0,3.31,0.0
2022-04-04 01:00:00,27.0,63,28.9,3.29,0.0
2022-04-04 02:00:00,26.8,65,28.8,3.2,0.0
2022-04-04 03:00:00,25.5,70,27.6,3.01,0.0
2022-04-04 04:00:00,25.3,71,27.6,2.55,0.0
2022-04-04 05:00:00,26.7,69,29.7,2.29,0.0
2022-04-04 06:00:00,26.5,70,29.5,2.33,0.0
2022-04-04 07:00:00,27.7,67,30.8,2.51,0.0
2022-04-04 08:00:00,28.7,62,31.7,2.51,0.0
2022-04-04 09:00:00,29.5,58,32.4,2.36,0.0
2022-04-04 10:00:00,31.1,50,34.4,2.1,0.0
2022-04-04 11:00:00,35.1,39,39.9,1.6,0.0
2022-04-04 12:00:00,35.3,38,40.9,0.97,0.0
2022-04-04 13:00:00,37.0,33,41.1,1.13,0.0
2022-04-04 14:00:00,37.0,32,38.8,1.5,0.0
2022-04-04 15:00:00,35.4,37,37.8,1.44,0.0
2022-04-04 16:00:00,35.3,37,37.6,1.53,0.0
2022-04-04 17:00:00,35.2,36,37.0,1.9,0.0
2022-04-04 18:00:00,34.6,39,36.8,1.98,0.0
2022-04-04 19:00:00,32.5,45,34.2,2.97,0.0
2022-04-04 20:00:00,31.5,45,32.6,3.43,0.0
2022-04-04 21:00:00,30.9,47,32.0,3.85,0.0
2022-04-04 22:00:00,29.2,52,30.1,4.26,0.0
2022-04-04 23:00:00,29.0,56,30.4,4.29,0.0
2022-04-05 00:00:00,28.4,59,29.9,4.2,0.0
2022-04-05 01:00:00,26.5,68,28.3,4.04,0.0
2022-04-05 02:00:00,26.4,69,28.5,3.76,0.0
2022-04-05 03:00:00,25.2,73,27.5,3.05,0.0
2022-04-05 04:00:00,24.9,74,27.4,2.76,0.0
2022-04-05 05:00:00,25.9,72,28.8,2.37,0.0
2022-04-05 06:00:00,25.8,72,28.7,2.28,0.0
2022-04-05 07:00:00,26.7,70,29.7,2.39,0.0
2022-04-05 08:00:00,27.5,65,30.2,2.57,0.0
2022-04-05 09:00:00,28.2,61,30.8,2.68,0.0
2022-04-05 10:00:00,30.7,48,33.4,2.62,0.0
2022-04-05 11:00:00,34.2,39,37.9,2.49,0.0
2022-04-05 12:00:00,34.4,39,39.1,2.13,0.0
2022-04-05 13:00:00,35.9,34,39.7,1.67,0.0
2022-04-05 14:00:00,36.1,34,38.6,1.6,0.0
2022-04-05 15:00:00,34.4,42,37.7,0.82,0.0
2022-04-05 16:00:00,34.2,41,37.1,1.15,0.0
2022-04-05 17:00:00,34.5,38,36.7,1.57,0.0
2022-04-05 18:00:00,34.0,40,36.3,1.79,0.0
2022-04-05 19:00:00,32.3,44,34.0,2.87,0.0
2022-04-05 20:00:00,29.5,48,30.3,3.35,0.0
2022-04-05 21:00:00,29.1,49,30.0,3.39,0.0
2022-04-05 22:00:00,28.1,52,28.8,3.64,0.0
2022-04-05 23:00:00,28.2,53,29.0,3.87,0.0
2022-04-06 00:00:00,27.8,55,28.7,4.03,0.0
2022-04-06 01:00:00,26.7,63,28.1,3.84,0.0
2022-04-06 02:00:00,26.3,67,28.3,3.35,0.0
2022-04-06 03:00:00,24.3,80,27.0,2.94,0.0
2022-04-06 04:00:00,24.3,82,27.4,2.48,0.0
2022-04-06 05:00:00,25.5,82,29.5,2.15,0.0
