timestamp,temperature_c,humidity_pct,apparent_temperature_c,weather_wind_speed_ms,precipitation_mm
2022-04-01 00:00:00,28.0,88,33.0,4.43,0.0
2022-04-01 01:00:00,27.6,89,32.5,4.11,0.0
2022-04-01 02:00:00,27.6,88,32.5,4.17,0.0
2022-04-01 03:00:00,27.1,90,32.1,3.87,0.0
2022-04-01 04:00:00,27.2,89,32.1,3.65,0.0
2022-04-01 05:00:00,28.2,85,33.1,3.81,0.0
2022-04-01 06:00:00,28.0,85,32.8,4.07,0.0
2022-04-01 07:00:00,29.4,79,33.5,5.54,0.0
2022-04-01 08:00:00,29.4,79,33.1,5.99,0.0
2022-04-01 09:00:00,29.3,78,33.0,5.93,0.0
2022-04-01 10:00:00,31.1,69,35.6,5.73,0.0
2022-04-01 11:00:00,32.3,66,37.8,5.48,0.0
2022-04-01 12:00:00,32.4,66,37.7,5.38,0.0
2022-04-01 13:00:00,33.2,64,38.4,5.34,0.0
2022-04-01 14:00:00,33.1,64,38.2,5.35,0.0
2022-04-01 15:00:00,31.2,73,35.8,4.91,0.0
2022-04-01 16:00:00,30.9,75,35.8,4.95,0.0
2022-04-01 17:00:00,30.8,77,35.8,4.85,0.0
2022-04-01 18:00:00,30.7,79,36.0,4.86,0.0
2022-04-01 19:00:00,29.6,86,35.1,4.78,0.0
2022-04-01 20:00:00,28.1,91,33.2,4.89,0.0
2022-04-01 21:00:00,28.1,91,33.2,5.0,0.0
2022-04-01 22:00:00,27.7,92,32.7,5.07,0.0
2022-04-01 23:00:00,27.8,92,32.9,4.8,0.0
2022-04-02 00:00:00,28.0,91,33.3,4.5,0.0
2022-04-02 01:00:00,28.1,89,33.2,4.51,0.0
2022-04-02 02:00:00,28.3,87,33.3,4.3,0.0
2022-04-02 03:00:00,28.1,87,33.1,4.0,0.0
2022-04-02 04:00:00,27.9,86,32.9,3.66,0.0
2022-04-02 05:00:00,28.6,83,33.7,3.53,0.0
2022-04-02 06:00:00,28.6,83,33.6,3.76,0.0
2022-04-02 07:00:00,29.0,81,33.3,4.88,0.0
2022-04-02 08:00:00,29.8,76,33.8,5.29,0.0
2022-04-02 09:00:00,29.9,74,33.6,5.35,0.0
2022-04-02 10:00:00,30.8,69,34.8,5.19,0.0
2022-04-02 11:00:00,31.9,67,37.0,4.76,0.0
